Column1,name,gender,age,height,nationality,weight,sports,hours_per_day,strength,agility,mental,federation,year_start,rank
116,David Branham,Male,46,186.5,USA,104,"Boxing, Karate",3,7,4,8,Consejo Global de Lucha Libre,1997,319
118,David Ray,Male,31,178.5,USA,94,Kick-Boxing,0,7,6,6,Consejo Global de Lucha Libre,2011,410
119,David Schiavo,Male,27,181.5,USA,98,"Boxing, Judo",2,10,5,6,Fight Zone Wrestling,2015,324
121,Dawn Jensen,Female,34,170.5,USA,88,Boxing,1,6,7,8,Consejo Global de Lucha Libre,2003,345
123,Debbie Thomas,Female,32,163.5,USA,73,"Karate, MMA",4,3,8,8,Consejo Global de Lucha Libre,2007,289
127,Delores Wilson,Female,20,171.5,USA,84,Boxing,1,6,9,5,Consejo Global de Lucha Libre,2020,463
132,Diane Seys,Female,29,177.5,USA,95,"Boxing, MMA",3,5,7,8,Consejo Global de Lucha Libre,2009,208
137,Donna Borrero,Female,30,182,USA,99,Karate,2,7,7,8,Consejo Global de Lucha Libre,2012,332
143,Dorothy Green,Female,33,163,USA,79,MMA,2,7,8,7,Consejo Global de Lucha Libre,2003,141
144,Dorothy Mcneil,Female,28,172.5,USA,91,"Kick-Boxing, MMA",4,5,6,7,Consejo Global de Lucha Libre,2014,327
147,Dustin Rude,Male,26,175,USA,91,"Karate, Kick-Boxing, MMA",3,7,7,7,Consejo Global de Lucha Libre,2016,137
160,Eric Hutchinson,Male,28,183,USA,101,Kick-Boxing,4,9,6,7,Fight Zone Wrestling,2012,235
163,Erin Kelley,Female,32,158,USA,67,"Boxing, Judo, Kick-Boxing",4,4,7,6,Fight Zone Wrestling,2008,462
174,Fred Rehm,Male,29,178,USA,94,"Boxing, Kick-Boxing, MMA",5,8,8,7,Consejo Global de Lucha Libre,2008,32
175,Gary Brown,Male,40,178.5,USA,94,"Boxing, MMA",3,7,5,9,Fight Zone Wrestling,1996,69
183,Gloria Bell,Female,33,167.5,USA,80,"Boxing, Karate, Kick-Boxing",4,4,8,6,Consejo Global de Lucha Libre,2004,397
194,Henry Johnston,Male,39,187.5,USA,107,"Boxing, MMA",3,9,5,7,Consejo Global de Lucha Libre,1999,72
205,James Poorman,Male,33,189,USA,106,"Boxing, Karate, Kick-Boxing, MMA",6,7,8,9,Consejo Global de Lucha Libre,2004,8
213,Jason Stewart,Male,28,191.5,USA,107,"Boxing, Karate",3,6,6,6,Consejo Global de Lucha Libre,2016,450
214,Jean Wheatley,Female,36,168,USA,80,"Karate, Kick-Boxing, MMA",4,6,8,6,Fight Zone Wrestling,2001,104
220,Jennifer Schaub,Female,33,163.5,USA,77,"Boxing, Karate",2,4,7,5,World Wrestling Entertainment,2001,437
225,Jessica Barton,Female,40,162,USA,73,"Boxing, Kick-Boxing",2,3,9,5,Fight Zone Wrestling,2000,441
234,John Przybyla,Male,27,179,USA,92,Boxing,3,8,6,7,Fight Zone Wrestling,2006,301
248,Joshua Smith,Male,33,176.5,USA,93,"Boxing, Judo, Kick-Boxing",3,6,8,5,World Wrestling Entertainment,2006,204
252,Judy Tregre,Female,30,166,USA,80,"Boxing, Karate",2,5,7,7,Consejo Global de Lucha Libre,2009,443
255,June Hodges,Female,29,170,USA,87,Boxing,3,5,8,8,World Wrestling Entertainment,2009,273
257,Karen Mcgovern,Female,28,162,USA,74,"Karate, MMA",4,4,8,7,Consejo Global de Lucha Libre,2011,317
259,Kasha Richardson,Female,38,169.5,USA,82,"Boxing, Kick-Boxing, MMA",4,6,9,7,Fight Zone Wrestling,1991,24
274,Kurtis Brouillet,Male,28,187.5,USA,106,Judo,3,7,6,7,Fight Zone Wrestling,2010,352
277,Larry Perez,Male,29,185,USA,100,"Boxing, Judo, Kick-Boxing, MMA",5,7,8,7,World Wrestling Entertainment,2007,11
282,Lauryn Richardson,Female,29,170,USA,85,Karate,2,6,6,5,Fight Zone Wrestling,2008,481
299,Luisa Rodrigues,Female,35,166,USA,77,"Boxing, MMA",3,5,9,7,Fight Zone Wrestling,2000,118
306,Margaret Medley,Female,30,171.5,USA,88,"Karate, Kick-Boxing",1,5,8,5,Fight Zone Wrestling,2002,381
309,Mariano Rosa,Male,22,183.5,USA,95,"Judo, MMA",5,6,9,9,Fight Zone Wrestling,2012,43
310,Marie Carlton,Female,31,161,USA,75,Karate,4,4,10,6,World Wrestling Entertainment,2008,336
313,Marjorie Brazelton,Female,30,168.5,USA,81,"Boxing, MMA",2,7,9,4,Fight Zone Wrestling,2012,213
317,Marvin Horn,Male,35,181,USA,92,MMA,1,7,5,8,Consejo Global de Lucha Libre,2005,196
320,Mary Green,Female,26,166.5,USA,79,Judo,3,6,7,6,Fight Zone Wrestling,2016,475
326,Mary Shape,Female,20,176.5,USA,92,MMA,3,6,6,7,Fight Zone Wrestling,2014,313
327,Mary Strickland,Female,25,179.5,USA,94,"Boxing, MMA",3,5,8,6,World Wrestling Entertainment,2010,154
328,Mason Manders,Male,23,175.5,USA,87,"Boxing, Kick-Boxing, MMA",5,6,8,6,World Wrestling Entertainment,2011,64
329,Matt Bailey,Male,36,184.5,USA,102,"Boxing, MMA",5,7,7,9,World Wrestling Entertainment,2004,15
337,Michael Norman,Male,36,174,USA,86,"Boxing, Judo",3,6,6,9,Fight Zone Wrestling,2003,268
338,Michael Pena,Male,40,186.5,USA,101,"Judo, MMA",5,8,7,7,Consejo Global de Lucha Libre,1996,41
340,Micheal Kurz,Male,28,178.5,USA,90,"Boxing, Judo",0,8,5,6,Fight Zone Wrestling,2008,382
346,Myra Watson,Female,35,169,USA,86,"Boxing, Kick-Boxing, MMA",5,9,10,7,World Wrestling Entertainment,2001,1
356,Olive Britton,Female,29,169.5,USA,82,"Judo, Karate",2,5,6,6,Consejo Global de Lucha Libre,2006,478
357,Olivia Dyer,Female,32,167.5,USA,82,"Boxing, MMA",4,6,6,9,Consejo Global de Lucha Libre,2003,157
359,Palmira Daugherty,Female,27,174.5,USA,88,"Karate, MMA",5,5,8,7,Fight Zone Wrestling,2013,215
362,Patricia Kirk,Female,33,167,USA,76,"Boxing, Kick-Boxing, MMA",3,5,9,6,Consejo Global de Lucha Libre,2005,148
363,Patricia Lawson,Female,40,155.5,USA,67,"Boxing, MMA",4,6,9,8,Fight Zone Wrestling,2002,76
374,Philip Zimmerman,Male,23,169.5,USA,82,"Judo, Karate, MMA",2,6,9,8,World Wrestling Entertainment,2016,40
375,Phillip Jones,Male,33,193.5,USA,106,"Boxing, Judo, Karate",6,8,6,8,Fight Zone Wrestling,2007,156
378,Ramon Whitehurst,Male,28,182,USA,97,"Boxing, Karate",2,8,7,8,Consejo Global de Lucha Libre,2010,206
384,Reba Hatcher,Female,32,170.5,USA,84,Karate,3,4,7,7,World Wrestling Entertainment,2011,429
386,Rebecca Reel,Female,34,177.5,USA,95,"Kick-Boxing, MMA",3,8,8,6,World Wrestling Entertainment,2005,27
389,Richard Burton,Male,25,180.5,USA,94,"Karate, MMA",4,6,6,6,Consejo Global de Lucha Libre,2007,264
396,Rita Lustig,Female,24,167.5,USA,80,"Boxing, Judo",3,6,7,6,Fight Zone Wrestling,2009,423
398,Rita Ramey,Female,27,174.5,USA,88,"Kick-Boxing, MMA",2,6,7,6,World Wrestling Entertainment,2011,147
409,Roberto Taylor,Male,39,174,USA,86,Boxing,2,8,4,8,World Wrestling Entertainment,2004,272
416,Rosa Joy,Female,28,173.5,USA,87,"Boxing, Karate",3,6,8,8,Consejo Global de Lucha Libre,2009,293
432,Scott Deal,Male,33,182.5,USA,98,"Boxing, MMA",2,8,7,8,Consejo Global de Lucha Libre,2009,66
433,Scott Doner,Male,36,191.5,USA,107,"Judo, Karate, Kick-Boxing",4,7,5,9,Consejo Global de Lucha Libre,1998,149
438,Sherrie Farris,Female,34,167,USA,82,Kick-Boxing,2,6,8,5,Fight Zone Wrestling,2008,409
443,Stephanie Thompson,Female,18,164,USA,72,"Boxing, Kick-Boxing",3,4,9,7,Consejo Global de Lucha Libre,2021,452
444,Stephen Ruthstrom,Male,27,182.5,USA,99,"Boxing, Judo, Kick-Boxing",5,8,7,6,Consejo Global de Lucha Libre,2006,195
445,Stephen Slocum,Male,26,190.5,USA,106,"Boxing, Karate, MMA",3,9,5,6,Consejo Global de Lucha Libre,2008,123
448,Sun Hayes,Female,36,171,USA,87,Karate,2,6,8,6,Fight Zone Wrestling,2008,387
450,Sydney Glenn,Female,30,176,USA,88,Boxing,3,6,7,6,Consejo Global de Lucha Libre,2010,454
452,Sylvia Van,Female,31,170,USA,88,"Boxing, Karate, Kick-Boxing, MMA",3,4,10,5,Fight Zone Wrestling,2003,112
453,Tamara May,Female,24,162,USA,76,Judo,1,4,7,5,Fight Zone Wrestling,2016,498
458,Teri Cervantes,Female,35,164,USA,78,Kick-Boxing,3,6,8,7,Fight Zone Wrestling,2006,331
464,Thomas Matlock,Male,35,183,USA,97,Boxing,2,7,6,5,Fight Zone Wrestling,2006,422
466,Tiffany Reynolds,Female,26,174.5,USA,86,"Boxing, Karate, MMA",4,2,8,7,World Wrestling Entertainment,2010,228
473,Valerie Griffin,Female,36,176.5,USA,93,"Judo, Karate, MMA",5,4,10,9,Consejo Global de Lucha Libre,2004,51
478,Vicki Washington,Female,38,169,USA,84,"Boxing, Karate, Kick-Boxing, MMA",6,7,10,8,Consejo Global de Lucha Libre,2000,5
482,Vincent Jones,Male,39,176.5,USA,92,"Boxing, MMA",4,9,8,9,Consejo Global de Lucha Libre,1996,6
484,Violeta Nelson,Female,26,168.5,USA,82,"Karate, MMA",4,7,8,6,Fight Zone Wrestling,2015,188
492,William Bryant,Male,31,180,USA,97,"Boxing, Karate, MMA",4,6,6,9,Consejo Global de Lucha Libre,2006,97
